STATE;STATENAME;ST_CASE;VE_TOTAL;VE_FORMS;PVH_INVL;PEDS;PERSONS;PERMVIT;PERNOTMVIT;COUNTY;COUNTYNAME;CITY;CITYNAME;DAY;DAYNAME;MONTH;MONTHNAME;YEAR;DAY_WEEK;DAY_WEEKNAME;HOUR;HOURNAME;MINUTE;MINUTENAME;NHS;NHSNAME;ROUTE;ROUTENAME;TWAY_ID;TWAY_ID2;RUR_URB;RUR_URBNAME;FUNC_SYS;FUNC_SYSNAME;RD_OWNER;RD_OWNERNAME;MILEPT;MILEPTNAME;LATITUDE;LATITUDENAME;LONGITUD;LONGITUDNAME;SP_JUR;SP_JURNAME;HARM_EV;HARM_EVNAME;MAN_COLL;MAN_COLLNAME;RELJCT1;RELJCT1NAME;RELJCT2;RELJCT2NAME;TYP_INT;TYP_INTNAME;WRK_ZONE;WRK_ZONENAME;REL_ROAD;REL_ROADNAME;LGT_COND;LGT_CONDNAME;WEATHER1;WEATHER1NAME;WEATHER2;WEATHER2NAME;WEATHER;WEATHERNAME;SCH_BUS;SCH_BUSNAME;RAIL;RAILNAME;NOT_HOUR;NOT_HOURNAME;NOT_MIN;NOT_MINNAME;ARR_HOUR;ARR_HOURNAME;ARR_MIN;ARR_MINNAME;HOSP_HR;HOSP_HRNAME;HOSP_MN;HOSP_MNNAME;CF1;CF1NAME;CF2;CF2NAME;CF3;CF3NAME;FATALS;DRUNK_DR
1;Alabama;10142;2;2;0;0;3;3;0;73;JEFFERSON (73);3080;TRUSSVILLE;21;21;3;March;2019;5;Thursday;21;9:00pm-9:59pm;31;31;0;This section IS NOT on the NHS;2;U.S. Highway;US-11 SR-7;PRAYTOR RD;2;Urban;4;Minor Arterial;1;State Highway Agency;1515;1515;33.63185;33.63185;-86.58823333;-86.58823333;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;1;Front-to-Rear;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;21;9:00pm-9:59pm;32;32;21;9:00pm-9:59pm;43;43;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10169;2;1;1;0;1;1;0;109;PIKE (109);0;NOT APPLICABLE;31;31;3;March;2019;1;Sunday;0;0:00am-0:59am;15;15;0;This section IS NOT on the NHS;4;County Road;CR-3310;US-231;1;Rural;7;Local;2;County Highway Agency;0;None;31.75803611;31.75803611;-85.88781389;-85.88781389;0;No Special Jurisdiction;59;Traffic Sign Support;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;0;0:00am-0:59am;18;18;0;0:00am-0:59am;29;29;1;1:00am-1:59am;3;3;0;None;0;None;0;None;1;1
1;Alabama;10215;2;2;0;0;2;2;0;83;LIMESTONE (83);170;ATHENS;21;21;4;April;2019;1;Sunday;20;8:00pm-8:59pm;54;54;1;This section IS ON the NHS;2;U.S. Highway;US-31 SR-3;MOYERS RD;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;3687;3687;34.74566667;34.74566667;-86.95719167;-86.95719167;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;20;8:00pm-8:59pm;54;54;21;9:00pm-9:59pm;1;1;21;9:00pm-9:59pm;53;53;0;None;0;None;0;None;1;0
1;Alabama;10265;1;1;0;1;1;1;1;55;ETOWAH (55);190;ATTALLA;15;15;2;February;2019;6;Friday;18;6:00pm-6:59pm;15;15;1;This section IS ON the NHS;3;State Highway;SR-77;BOBBY AUSTIN DR;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;1082;1082;33.99726944;33.99726944;-86.10348611;-86.10348611;0;No Special Jurisdiction;8;Pedestrian;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;2;Rain;0;No Additional Atmospheric Conditions;2;Rain;0;No;0;Not Applicable;18;6:00pm-6:59pm;15;15;18;6:00pm-6:59pm;17;17;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10267;2;2;0;0;3;3;0;5;BARBOUR (5);1050;EUFAULA;11;11;1;January;2019;6;Friday;12;12:00pm-12:59pm;33;33;1;This section IS ON the NHS;2;U.S. Highway;US-431 SR-1;MEADOW DR;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;650;650;31.87130278;31.87130278;-85.15599167;-85.15599167;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;1;Front-to-Rear;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;12;12:00pm-12:59pm;29;29;12;12:00pm-12:59pm;33;33;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10283;2;2;0;0;2;2;0;11;BULLOCK (11);3090;UNION SPRINGS;3;3;5;May;2019;6;Friday;22;10:00pm-10:59pm;6;6;0;This section IS NOT on the NHS;6;Local Street - Municipality;TYE AVE;BASKIN ST;2;Urban;7;Local;4;City or Municipal Highway Agency;0;None;32.13833333;32.13833333;-85.723225;-85.723225;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;22;10:00pm-10:59pm;9;9;22;10:00pm-10:59pm;9;9;22;10:00pm-10:59pm;27;27;0;None;0;None;0;None;1;0
1;Alabama;10286;2;2;0;0;5;5;0;89;MADISON (89);0;NOT APPLICABLE;14;14;5;May;2019;3;Tuesday;18;6:00pm-6:59pm;20;20;0;This section IS NOT on the NHS;4;County Road;CR-PULASKI PIKE;OPP REYNOLDS RD;2;Urban;7;Local;2;County Highway Agency;0;None;34.91839444;34.91839444;-86.713725;-86.713725;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;2;Front-to-Front;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;99;Unknown;99;Unknown;19;7:00pm-7:59pm;3;3;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;1
1;Alabama;10287;2;2;0;0;5;5;0;109;PIKE (109);3040;TROY;16;16;5;May;2019;5;Thursday;16;4:00pm-4:59pm;41;41;1;This section IS ON the NHS;2;U.S. Highway;US-231 SR-53;CR-1149;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;806;806;31.85414722;31.85414722;-85.99676389;-85.99676389;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;16;4:00pm-4:59pm;41;41;16;4:00pm-4:59pm;48;48;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10322;2;2;0;0;2;2;0;127;WALKER (127);0;NOT APPLICABLE;3;3;6;June;2019;2;Monday;16;4:00pm-4:59pm;37;37;0;This section IS NOT on the NHS;3;State Highway;SR-118;BYLAR RD;1;Rural;4;Minor Arterial;1;State Highway Agency;385;385;33.85984167;33.85984167;-87.379375;-87.379375;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;1;Front-to-Rear;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;99;Unknown;99;Unknown;17;5:00pm-5:59pm;0;0;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;1
1;Alabama;10348;2;2;0;0;2;2;0;97;MOBILE (97);0;NOT APPLICABLE;3;3;1;January;2019;5;Thursday;19;7:00pm-7:59pm;18;18;1;This section IS ON the NHS;2;U.S. Highway;US-98 SR-42;WILSON RD;1;Rural;3;Principal Arterial - Other;1;State Highway Agency;19;19;30.84764444;30.84764444;-88.39698056;-88.39698056;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;2;Rain;0;No Additional Atmospheric Conditions;2;Rain;0;No;0;Not Applicable;19;7:00pm-7:59pm;18;18;19;7:00pm-7:59pm;36;36;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10351;1;1;0;0;5;5;0;3;BALDWIN (3);0;NOT APPLICABLE;9;9;3;March;2019;7;Saturday;22;10:00pm-10:59pm;50;50;0;This section IS NOT on the NHS;4;County Road;CR-HARTUNG RD;ROY WATERS RD;1;Rural;7;Local;2;County Highway Agency;0;None;30.37006389;30.37006389;-87.74242222;-87.74242222;0;No Special Jurisdiction;34;Ditch;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;2;Dark - Not Lighted;10;Cloudy;0;No Additional Atmospheric Conditions;10;Cloudy;0;No;0;Not Applicable;99;Unknown;99;Unknown;23;11:00pm-11:59pm;15;15;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;1
1;Alabama;10367;2;2;0;0;3;3;0;97;MOBILE (97);2100;MOBILE;2;2;5;May;2019;5;Thursday;11;11:00am-11:59am;30;30;0;This section IS NOT on the NHS;6;Local Street - Municipality;SCHILLINGER RD;MCKINLEY AVE;2;Urban;7;Local;4;City or Municipal Highway Agency;0;None;30.69726667;30.69726667;-88.22543889;-88.22543889;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;11;11:00am-11:59am;30;30;11;11:00am-11:59am;34;34;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10395;2;2;0;0;2;2;0;97;MOBILE (97);2100;MOBILE;28;28;6;June;2019;6;Friday;13;1:00pm-1:59pm;20;20;1;This section IS ON the NHS;3;State Highway;SR-42;FOREST HILL DR;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;30;30;30.72005;30.72005;-88.15296944;-88.15296944;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;13;1:00pm-1:59pm;20;20;13;1:00pm-1:59pm;27;27;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10423;2;2;0;0;2;2;0;43;CULLMAN (43);9997;Other;12;12;7;July;2019;6;Friday;22;10:00pm-10:59pm;55;55;0;This section IS NOT on the NHS;4;County Road;CR-437;WHITE OAK LOOP;2;Urban;5;Major Collector;2;County Highway Agency;0;None;34.10263889;34.10263889;-86.87441389;-86.87441389;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;99;Unknown;99;Unknown;23;11:00pm-11:59pm;20;20;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;1
1;Alabama;10443;1;1;0;1;1;1;1;123;TALLAPOOSA (123);1762;JACKSONS GAP;27;27;5;May;2019;2;Monday;20;8:00pm-8:59pm;58;58;0;This section IS NOT on the NHS;4;County Road;CR-JACKSONS GAP WAY;MAIN ST;1;Rural;5;Major Collector;2;County Highway Agency;0;None;32.8833;32.8833;-85.82637222;-85.82637222;0;No Special Jurisdiction;8;Pedestrian;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;99;Unknown;99;Unknown;21;9:00pm-9:59pm;9;9;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10468;2;2;0;0;2;2;0;127;WALKER (127);1780;JASPER;30;30;7;July;2019;3;Tuesday;5;5:00am-5:59am;40;40;0;This section IS NOT on the NHS;3;State Highway;SR-5;SHERERWOOD DR;2;Urban;4;Minor Arterial;1;State Highway Agency;0;None;33.84243611;33.84243611;-87.241825;-87.241825;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;4;Dawn;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;5;5:00am-5:59am;40;40;5;5:00am-5:59am;46;46;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10479;1;1;0;0;1;1;0;83;LIMESTONE (83);0;NOT APPLICABLE;3;3;8;August;2019;7;Saturday;21;9:00pm-9:59pm;15;15;0;This section IS NOT on the NHS;4;County Road;CR-PARKER RD;RIPLEY RD;1;Rural;7;Local;2;County Highway Agency;0;None;34.76049444;34.76049444;-87.10758611;-87.10758611;0;No Special Jurisdiction;42;Tree (Standing Only);0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;21;9:00pm-9:59pm;22;22;21;9:00pm-9:59pm;33;33;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10480;3;3;0;0;4;4;0;113;RUSSELL (113);2440;PHENIX CITY;3;3;8;August;2019;7;Saturday;14;2:00pm-2:59pm;7;7;0;This section IS NOT on the NHS;3;State Highway;SR-165;THREE LAKES DR;2;Urban;5;Major Collector;1;State Highway Agency;315;315;32.41013333;32.41013333;-85.03733889;-85.03733889;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;1;Front-to-Rear;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;14;2:00pm-2:59pm;18;18;14;2:00pm-2:59pm;21;21;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;1
1;Alabama;10486;2;2;0;0;3;3;0;113;RUSSELL (113);0;NOT APPLICABLE;9;9;8;August;2019;6;Friday;16;4:00pm-4:59pm;33;33;0;This section IS NOT on the NHS;3;State Highway;SR-165;MISTY FOREST AVE;2;Urban;4;Minor Arterial;1;State Highway Agency;295;295;32.38670278;32.38670278;-85.03355556;-85.03355556;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;1;Yes;0;Not Applicable;16;4:00pm-4:59pm;35;35;16;4:00pm-4:59pm;45;45;17;5:00pm-5:59pm;45;45;0;None;0;None;0;None;1;0
1;Alabama;10493;2;2;0;0;3;3;0;53;ESCAMBIA (53);180;ATMORE;15;15;8;August;2019;5;Thursday;18;6:00pm-6:59pm;38;38;1;This section IS ON the NHS;3;State Highway;SR-3;WILSON AVE;1;Rural;3;Principal Arterial - Other;1;State Highway Agency;408;408;31.02383056;31.02383056;-87.49776667;-87.49776667;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;18;6:00pm-6:59pm;38;38;18;6:00pm-6:59pm;41;41;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10496;1;1;0;0;3;3;0;111;RANDOLPH (111);0;NOT APPLICABLE;17;17;8;August;2019;7;Saturday;16;4:00pm-4:59pm;0;0;0;This section IS NOT on the NHS;4;County Road;CR-431;CR-134;1;Rural;7;Local;2;County Highway Agency;0;None;33.40539444;33.40539444;-85.48199722;-85.48199722;0;No Special Jurisdiction;42;Tree (Standing Only);0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;5;Outside Trafficway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;16;4:00pm-4:59pm;0;0;16;4:00pm-4:59pm;15;15;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
1;Alabama;10522;2;2;0;0;2;2;0;73;JEFFERSON (73);0;NOT APPLICABLE;25;25;7;July;2019;5;Thursday;14;2:00pm-2:59pm;52;52;1;This section IS ON the NHS;3;State Highway;SR-75;RUDD SCHOOL RD;1;Rural;3;Principal Arterial - Other;1;State Highway Agency;82;82;33.70148056;33.70148056;-86.68585833;-86.68585833;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;14;2:00pm-2:59pm;52;52;14;2:00pm-2:59pm;58;58;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
